No.total,Serial No.,StationCo,Name_Kor,Name_Eng,River Syst,River name,Transmissi,Instrument,Address,Longitude,Latitude,Longitude_,Latitude_d,Beginning,Tidal,Elevation,Elevatio_1,Possible,Discharge,Drainage A,Distance f,Grade of,Remarks,Management,classifica,권역,Level,선정1,Final,확대지점,type,주의수위,경계수위,심각수위,기왕 최대수위,기왕 최대수위 사상,경계수위 초과유무,경계수위 초과사상,심각수위 초과유무,심각수위 초과사상,Hydro model,Rating curve,시나리오대상,Basic Model,Predict Rainfall Model,Scenario model,Representative,
241,241,2009670,구미시(일선교),Gumisi(Ilseongyo),낙동강,낙동강,VHF/M2M,부자식/압력식,경상북도 구미시 도개면 신림리 775 (일선교),128-20-34,36-16-23,128.3427778,36.27305556,1982-07-01,무,30.788,40.87,10,유,"9,532.76",225.42,보통(C), ,환경부,,낙동강,국가,추가선정,,추가선정,본류,,,,,,,,,,,,,,,,,
242,242,2009680,구미시(구미보상),Gumisi(GumiboUP),낙동강,낙동강,VHF/M2M,압력식/압력식,경상북도 구미시 선산읍 독동리 산98,128-20-31,36-14-16,128.3419444,36.23777778,2010-05-31,무,0,33,35,무,9557,221.17,우수(B), ,환경부,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
243,243,2009682,구미시(구미보하),Gumisi(GumiboDN),낙동강,낙동강,VHF/M2M,압력식/압력식,경상북도 구미시 해평면 낙산리 387-12,128-20-53,36-14-12,128.3480556,36.23666667,2010-05-31,무,0,33,30,무,"9,557.00",220.86,최적(A), ,환경부,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
244,244,2010635,김천시(지품교),Gimcheonsi(Jipumgyo),낙동강,감천,VSAT/M2M,레이더/압력식,경상북도 김천시 구성면 상원리 234-21 (지품교),128-02-28,36-01-32,128.0411111,36.02555556,2012-01-01,무,106.537,115.125,6,유,255.44,47.59,최적(A), ,환경부,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
245,245,2010640,김천시(김천IC1교),Gimcheonsi(GimcheonIC1gyo),낙동강,직지사천,VHF/M2M,압력식,경상북도 김천시 부곡동 901-17 (김천IC1교),128-05-51,36-07-45,128.0975,36.12916667,2023-01-09,무,61.59,69.364,8,유,108.35,3.92,-, ,환경부,확대특보지점(신설),낙동강,지방,제외,,,지류,,,,,,,,,,,,,,,,,
246,246,2010650,김천시(김천교),Gimcheonsi(Gimcheongyo),낙동강,감천,VHF/M2M/고속망,부자식/레이더,경상북도 김천시 지좌동 1046-1 (김천교),128-07-50,36-07-09,128.1305556,36.11916667,1942-10-01,무,58.909,66.362,5,유,456.40,29.37,최적(A), ,환경부,현재특보지점,낙동강,국가,현재특보지점,O,,지류,,4.5,5,5.45,1900-01-04 13:40,45148.55556,X,,X,,O,O,O,●,,,기본
247,247,2010660,김천시(대동교),Gimcheonsi(Daedonggyo),낙동강,감천,VHF/M2M,부자식,경상북도 김천시 개령면 서부리 669-1 (대동교),128-11-35,36-09-49,128.1930556,36.16361111,2010-01-01,무,47.967,58.569,10,유,771.98,21.46,우수(B), ,환경부,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
248,248,2010690,구미시(선주교),Gumisi(Seonjugyo),낙동강,감천,VHF/M2M,레이더,경상북도 구미시 선산읍 화조리 581-6 (선주교),128-18-32,36-13-41,128.3088889,36.22805556,1965-12-01,무,31.425,42.467,7,유,987.52,4.43,우수(B),"결측, 동절기 하천결빙(1.24~1.28)",환경부,,낙동강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
249,249,2011625,구미시(양포교),Gumisi(Yangpogyo),낙동강,한천,VHF/M2M,레이더/압력식,경상북도 구미시 구포동 1075(양포교),128-25-44,36-08-10,128.4288889,36.13611111,2016-01-01,무,26.957,42.417,10,무,136.26,4.36,최적(A), ,환경부,,낙동강,지방,추가,O,,지류,,4.9,6,6.99,6.09,,O,45148,X,,O,X,X,●,,,기본
250,250,2011640,구미시(구미대교),Gumisi(Gumidaegyo),낙동강,낙동강,VHF/M2M/고속망,부자식/압력식,경상북도 구미시 임수동 550-1 (구미대교),128-23-48,36-06-39,128.3966667,36.11083333,1962-07-01,무,23.826,35.22,11,유,10915.39,204.75,최적(A), ,환경부,,낙동강,국가,추가선정,,추가선정,본류,,,,,,,,,,,,,,,,,
251,251,2011648,칠곡군(칠곡보상),Chilgokgun(ChilgokboUP),낙동강,낙동강,VSAT/M2M,부자식/레이더,경상북도 칠곡군 약목면 관호리 산 5,128-23-46,36-01-03,128.3961111,36.0175,2010-05-31,무,0,29.863,30,무,"11,040.00",193.43,최적(A), ,환경부,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
252,252,2011649,칠곡군(칠곡보하),Chilgokgun(ChilgokboDN),낙동강,낙동강,VHF/M2M,압력식/압력식,경상북도 칠곡군 약목면 관호리 458-35,128-23-42,36-00-50,128.395,36.01388889,2011-06-01,무,0,28.25,25,무,"11,040.00",192.97,최적(A), ,환경부,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
253,253,2011650,칠곡군(호국의다리),Chilgokgun(Hogukeuidari),낙동강,낙동강,VHF/M2M/고속망,부자식/레이더,경상북도 칠곡군 왜관읍 석전리 872  (호국의다리),128-23-39,36-00-01,128.3941667,36.00027778,1924-04-01,무,13.115,31.007,9,유,11103.91,191.5,최적(A), ,환경부,현재특보지점,낙동강,국가,현재특보지점,O,,본류,,12,14,15,10.94,45122.84028,X,,X,,O,O,O,●,,,기본
254,254,2011660,성주군(성주대교),Seongjugun(Seongjudaegyo),낙동강,낙동강,VHF/M2M,리드식,경상북도 성주군 선남면 선원리 5-3 (성주대교),128-23-25,35-52-52,128.3902778,35.88111111,1995-03-08,무,15.272,29.186,15,유,11220.82,177.82,최적(A), ,환경부,,낙동강,국가,추가선정,,추가선정,본류,,,,,,,,,,,,,,,,,
255,255,2011665,성주군(도성교),Seongjugun(Doseonggyo),낙동강,백천,VHF/M2M,레이더,경상북도 성주군 선남면 도성리 651-5 (도성교),128-21-57,35-52-46,128.3658333,35.87944444,2009-01-01,무,18.445,27.619,12,무,289.19,3.2,최적(A), ,환경부,확대특보지점,낙동강,지방,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
256,256,2011696,대구시(강정고령보하),Daegusi(GangjungGoryeongboDN),낙동강,낙동강,VHF/M2M,압력식/압력식,대구광역시 달성군 다사읍 죽곡리 806,128-27-57,35-50-24,128.4658333,35.84,2011-06-01,무,0,26.217,20,무,11667,167.54,최적(A), ,환경부,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
257,257,2012625,영천시(단포교),Yeongcheonsi(Danpogyo),낙동강,자호천,VHF/M2M,부자식/압력식,경상북도 영천시 고경면 단포리 407-144 (단포교),128-58-06,35-58-43,128.9683333,35.97861111,1972-01-01,무,77.901,85.121,6,유,326.88,1.77,최적(A), ,환경부,,낙동강,지방,확대특보지점,O,,지류,,2.8,3.5,4.09,2.66,43741.375,X,,X,,O,O,O,○,,●,시나리오
258,258,2012628,영천시(영동교),Yeongcheonsi(Yeongdonggyo),낙동강,금호강,VHF/M2M,부자식/압력식,경상북도 영천시 완산동 1269-1 (영동교),128-56-18,35-58-08,128.9383333,35.96888889,2008-02-01,무,67.448,77.204,9,무,452.63,66.4,최적(A), ,환경부,확대특보지점,낙동강,국가,확대특보지점,O,,지류,,4.2,5.1,6.08,3.7,41169.61111,X,,X,,O,O,O,○,,●,시나리오
259,259,2012632,영천시(영양교),Yeongcheonsi(Yeongyanggyo),낙동강,신령천,VSAT/M2M,부자식/압력식,경상북도 영천시 쌍계동 504-1 (영양교),128-55-03,35-57-42,128.9175,35.96166667,2011-01-01,무,66.987,73.644,7,유,342.93,0.58,최적(A), ,환경부,,낙동강,지방,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
260,260,2012640,영천시(금창교),Yeongcheonsi(Geumchanggyo),낙동강,금호강,VHF/M2M/고속망,부자식/레이더,경상북도 영천시 금호읍 교대리 661 (금창교),128-52-32,35-55-50,128.8755556,35.93055556,1962-07-01,무,52.582,60.316,9,유,926.93,54.89,최적(A),"결측, 동절기 하천결빙(12.21~12.23)",환경부,현재특보지점,낙동강,국가,현재특보지점,O,,지류,,4,5,6.08,3.57,44432.72917,X,,X,,O,O,O,●,,,기본
261,261,2012645,봉화군(풍호리),Bonghwagun(Punghori),낙동강,낙동강,VSAT/M2M,부자식/압력식,경상북도 봉화군 명호면 풍호리 산174,128-53-20,36-50-46,128.8888889,36.84611111,1962-07-01,무,190.553,203.168,9,유,"1,089.70",403.06,최적(A), ,환경부,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
262,262,2012648,경산시(압량교),Gyeongsansi(Amnyanggyo),낙동강,오목천,VHF/M2M,부자식,경상북도 경산시 압량면 부적리 698 (압량교),128-45-59,35-51-08,128.7663889,35.85222222,2009-01-01,무,38.69,46.387,7.4,유,165.44,3.72,보통(C),"결측, 동절기 하천결빙(1.1~1.13, 1.24~2.1, 12.22~12.25)",환경부,확대특보지점,낙동강,지방,확대특보지점,O,,지류,,2.9,3.8,4.71,3.77,40733.59722,X,,X,,O,O,O,○,,●,시나리오
263,263,2012650,경산시(환상리),Gyeongsansi(Hwansangri),낙동강,금호강,VHF/M2M,부자식,경상북도 경산시 하양읍 환상리 768-1 (금호3교 하류),128-46-45,35-52-41,128.7791667,35.87805556,2002-04-11,무,39.209,46.821,7,무,"1,139.55",43.65,최적(A), ,환경부,,낙동강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
264,264,2012652,대구시(성동교),Daegusi(Seongdonggyo),낙동강,남천,VHF/M2M,부자식/압력식,대구광역시 수성구 성동 566-1 (성동교),128-43-24,35-51-07,128.7233333,35.85194444,2002-02-07,무,35.209,40.614,5,무,92.27,1.8,최적(A), ,환경부,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
265,265,2012653,대구시(안심교),Daegusi(Ansimgyo),낙동강,금호강,VHF/M2M,부자식/압력식,대구광역시 동구 동호동 340-1 (안심교),128-42-55,35-51-42,128.7152778,35.86166667,2011-01-01,무,32.868,40.868,9,유,"1,386.90",36.71,최적(A), ,환경부,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
266,266,2012660,대구시(신암동),Daegusi(Sinamdong),낙동강,금호강,VHF/M2M/고속망,부자식/압력식,대구광역시 동구 불로동 1107-1 (보성2차APT앞),128-38-04,35-53-30,128.6344444,35.89166667,1923-06-01,무,24.935,35.52,8,유,"1,537.72",27.27,최적(A), ,환경부,현재특보지점,낙동강,국가,현재특보지점,O,,지류,,5.5,7.5,8.85,6.15,40734.45139,X,,X,,O,O,O,○,,●,시나리오
267,267,2012665,대구시(동화교),Daegusi(Donghwagyo),낙동강,동화천,VHF/M2M,부자식,대구광역시 북구 서변동 1630-1 (동화교),128-36-01,35-54-59,128.6002778,35.91638889,2002-02-07,무,23.774,31.325,4,무,98.80,0.28,최적(A), ,환경부,확대특보지점,낙동강,지방,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
268,268,2012666,대구시(노곡교),Daegusi(Nogockgyo),낙동강,금호강,VHF/M2M,압력식,대구광역시 북구 노곡동 889-2 (노곡교),128-33-54,35-54-08,128.565,35.90222222,2021-10-01,무,17.279,23.855,8.9,무,"1,867.52",15.91,-, ,환경부,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
269,269,2012670,대구시(산격대교),Daegusi(Sangyeokdaegyo),낙동강,금호강,VHF/M2M,레이더,대구광역시 북구 서변동 1630-1 (산격대교),128-35-60,35-54-32,128.6,35.90888889,2006-01-25,무,21.109,31.757,7.5,무,1695.37,19.3,최적(A), ,환경부,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
270,270,2012690,대구시(성북교),Daegusi(Seongbukgyo),낙동강,신천,VHF/M2M,부자식,대구광역시 북구 산격동 1519-1 (성북교),128-35-35,35-53-35,128.5930556,35.89305556,2002-04-11,무,24.728,33.159,7,무,162.72,1.12,최적(A), ,환경부,확대특보지점,낙동강,지방,확대특보지점,O,,지류,,3,4,4.93,3.19,45148.5,X,,X,,O,O,O,○,,●,시나리오
271,271,2012695,대구시(강창교),Daegusi(Gangchanggyo),낙동강,금호강,VHF/M2M,부자식/레이더,대구광역시 달서구 파호동 460 (강창교),128-28-18,35-51-12,128.4716667,35.85333333,1962-07-01,무,12.729,27.277,12,유,"2,090.22",1.22,최적(A), ,환경부,,낙동강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
272,272,2012696,대구시(매곡리),Daegusi(Maegokri),낙동강,낙동강,VHF/M2M,부자식/압력식,대구광역시 달성군 다사읍 매곡리 1171 (강정취수장 상류),128-26-46,35-50-58,128.4461111,35.84944444,2006-04-25,무,13.023,26.767,13,무,"11,663.98",169.52,최적(A), ,환경부,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
273,273,2013615,성주군(가천교),Seongjugun(Gacheongyo),낙동강,대가천,VHF/M2M,부자식,경상북도 성주군 가천면 창천리 1242-1 (가천교),128-10-23,35-52-51,128.1730556,35.88083333,1962-07-01,무,112.487,120.155,8,무,170.33,17.51,우수(B), ,환경부,,낙동강,지방,,,,지류,,2.9,3.6,4.33,4.18,,O,41169,X,,O,O,X,,,,
274,274,2013620,성주군(화죽교),Seongjugun(Hwajukgyo),낙동강,화죽천,VHF/M2M,레이더,경상북도 성주군 수륜면 수성리 341-5 (화죽교),128-10-46,35-52-23,128.1794444,35.87305556,2009-01-01,무,108.971,114.283,5.5,무,42.47,0.04,우수(B), ,환경부,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
275,275,2013629,성주군(작천교),Seongjugun(Jackcheongyo),낙동강,대가천,VHF/M2M,압력식,경상북도 성주군 수륜면 남은리 23-41,128-15-54,35-47-43,128.265,35.79527778,2023-01-09,무,42.349,52.446,8,유,291.57,26.22,-,"결측, 수위 이상거동(01.23~01.25, 08.23~08.25, 10.20~10.27, 11.11~11.15)수위계 분실로 인한 결측(11.25~12.31)",환경부,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
276,276,2013630,합천군(구정리),Hapcheongun(Gujeongri),낙동강,가야천,VHF/M2M,레이더,경상남도 합천군 야로면 구정리 269-1,128-10-12,35-42-26,128.17,35.70722222,2015-01-01,무,101.155,107.86,5,무,125.94,6.77,우수(B), ,환경부,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
277,277,2013640,고령군(귀원교),Goryeonggun(Gwiwongyo),낙동강,안림천,VHF/M2M,부자식,경상북도 고령군 쌍림면 매촌리 463-1 (귀원교),128-14-21,35-40-33,128.2391667,35.67583333,2012-01-01,무,38.793,46.661,8,유,220.32,7.8,최적(A),"결측, 동절기 하천결빙(01.24~01.26)",환경부,확대특보지점,낙동강,지방,확대특보지점,O,,지류,,3.8,4.8,5.68,5.77,,O,"2012-09-17, 2019-10-02, 2019-10-03, 2023-07-18",O,41169,O,O,X,●,○,,기본
278,278,2013650,고령군(회천교),Goryeonggun(Hoecheongyo),낙동강,회천,VHF/M2M,부자식/압력식,경상북도 고령군 고령읍 장기리 331 (회천교),128-16-40,35-43-45,128.2777778,35.72916667,1962-07-01,무,22.632,32.044,8,무,428.92,17.52,최적(A), ,환경부,확대특보지점,낙동강,지방,확대특보지점,O,,지류,,3.7,4.3,4.84,1900-01-05 6:14,,O,"2012-09-17, 2019-10-02",O,41169,O,O,X,●,,,기본
279,279,2013685,고령군(사촌리),Goryeonggun(Sachonri),낙동강,회천,VSAT/M2M,부자식/압력식,경상북도 고령군 우곡면 사촌리 899-1,128-19-18,35-42-02,128.3216667,35.70055556,1968-01-01,무,12.791,23.78,7,무,744.78,11.41,보통(C), ,환경부,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
280,280,2013690,고령군(도진교),Goryeonggun(Dojingyo),낙동강,회천,VHF/M2M,부자식/레이더,경상북도 고령군 우곡면 야정리 971 (도진교),128-20-16,35-40-45,128.3377778,35.67916667,2003-05-23,무,10.724,22.131,13,유,749.77,8.21,최적(A), ,환경부,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
281,281,2014620,대구시(사문진교),Daegusi(Samunjingyo),낙동강,낙동강,VHF/M2M,부자식/레이더,대구광역시 달성군 화원읍 성산리 744-11 (사문진교),128-28-27,35-48-44,128.4741667,35.81222222,1995-04-01,무,10.634,31.941,16,무,"13,844.59",163.62,최적(A), ,환경부,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
282,282,2014640,고령군(고령교),Goryeonggun(Goryeonggyo),낙동강,낙동강,VHF/M2M/고속망,부자식/압력식,경상북도 고령군 성산면 삼대리 112-3 (고령교),128-23-13,35-45-10,128.3869444,35.75277778,1968-01-01,무,10.602,29.662,12,유,13972.04,151.2,최적(A), ,환경부,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
283,283,2014650,대구시(달성보상),Daegusi(DalsungboUP),낙동강,낙동강,VHF/M2M,부자식/압력식,경상북도 고령군 성산면 오곡리 56-3번지,128-24-11,35-44-22,128.4030556,35.73944444,2010-05-31,무,0,25.411,20,무,14248,149.07,최적(A), ,환경부,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
284,284,2014651,고령군(달성보하),Goryeonggun(DalsungboDN),낙동강,낙동강,VHF/M2M,압력식/압력식,경상북도 고령군 개진면 인안리 18-1번지,128-25-01,35-43-49,128.4169444,35.73027778,2011-06-01,무,0,25.732,15,무,14248,147.56,우수(B), ,환경부,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
285,285,2014660,대구시(성하리),Daegusi(Seonghari),낙동강,낙동강,VHF/M2M/고속망,부자식/레이더,대구광역시 달성군 현풍면 성하리 274 (현풍휴게소뒤),128-26-03,35-42-10,128.4341667,35.70277778,1917-06-01,무,8.3,24.047,14,유,"14,041.34",143.62,최적(A),관측소 확장공사로 인한 일시운영중지(10.04~10.18),환경부,현재특보지점,낙동강,국가,현재특보지점,O,,본류,,10,12,12.77,11.76,44052.16667,X,,X,,O,O,O,●,,,기본
286,286,2014680,대구시(내리),Daegusi(Naeri),낙동강,낙동강,VHF/M2M,부자식/압력식,대구광역시 달성군 구지면 내리 774-5,128-24-11,35-38-01,128.4030556,35.63361111,2006-04-26,무,4.583,22.678,16.4,무,"14,236.41",126.29,최적(A), ,환경부,,낙동강,국가,추가선정,,추가선정,본류,,,,,,,,,,,,,,,,,
287,287,2014690,합천군(율지교),Hapcheongun(Yuljigyo),낙동강,낙동강,VHF/M2M,부자식/레이더,경상남도 합천군 덕곡면 율지리 1 (율지교),128-21-29,35-36-45,128.3580556,35.6125,2006-01-25,무,4.153,25.378,16,유,"15,052.90",121.15,최적(A), ,환경부,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
288,288,2014697,합천군(합천창녕보상),Hapcheongun(HapcheonchangnyeongboUP),낙동강,낙동강,VHF/M2M,압력식/압력식,경상남도 창녕군 이방면 장천리 1065,128-21-37,35-35-42,128.3602778,35.595,2012-01-27,무,0,21.77,15,무,15074,119.05,우수(B), ,환경부,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
289,289,2014699,합천군(합천창녕보하),Hapcheongun(HapcheonchangnyeongboDN),낙동강,낙동강,VHF/M2M,부자식/압력식,경상남도 합천군 청덕면 삼학리 199-1,128-21-17,35-35-17,128.3547222,35.58805556,2012-01-27,무,0,22.004,10,무,"15,074.00",118.21,최적(A), ,환경부,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
290,290,2015630,거창군(남하교),Geochanggun(Namhagyo),낙동강,황강,VSAT/M2M,레이더(2),경상남도 거창군 남상면 월평리 855-15 (남하교),127-56-25,35-40-18,127.9402778,35.67166667,2012-03-01,무,177.373,185.707,8,유,459.6,80.5,최적(A), ,환경부,확대특보지점,낙동강,국가,확대특보지점,O,,지류,,4,5,6.06,1900-01-04 21:50,44025.45139,X,,X,,O,O,O,●,,,기본
291,291,2016650,합천군(남정교),Hapcheongun(Namjeonggyo),낙동강,황강,VHF/M2M,부자식/레이더,경상남도 합천군 대양면 정양리 613 (남정교),128-09-42,35-33-27,128.1616667,35.5575,1987-10-01,무,29.75,38.08,7,무,946.2,33.9,최적(A), ,환경부,,낙동강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
292,292,2016660,합천군(기리교),Hapcheongun(Girigyo),낙동강,황강,VHF/M2M,레이더/압력식,경상남도 합천군 율곡면 항곡리 산3-2 (기리교),128-13-10,35-36-49,128.2194444,35.61361111,2022-03-02,무,15.597,27.298,8,유,"1,201.08",19.43,-, ,환경부,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
293,293,2016680,합천군(황강교),Hapcheongun(Hwangganggyo),낙동강,황강,VHF/M2M/고속망,부자식/레이더,경상남도 합천군 적중면 죽고리 922-1 (황강교),128-17-34,35-34-19,128.2927778,35.57194444,1962-07-01,무,8.291,22.508,10,유,1240.66,7.7,우수(B), ,환경부,현재특보지점,낙동강,국가,현재특보지점,O,,지류,,7,9,10.93,10.77,,O,44051,X,,O,O,X,●,,,기본
294,294,2017620,합천군(적포교),Hapcheongun(Jeokpogyo),낙동강,낙동강,VHF/M2M/고속망,부자식/압력식,경상남도 합천군 청덕면 앙진리 1 (적포교),128-21-33,35-31-39,128.3591667,35.5275,1980-06-01,무,0.574,23.896,12,유,16433.12,111.16,최적(A), ,환경부,,낙동강,국가,확대특보지점,O,,본류,,11.3,14,16.78,15.42,,O,44051,X,,O,O,X,●,,,기본
295,295,2017630,의령군(대곡교),Uiryeonggun(Daegokgyo),낙동강,신반천,VSAT/M2M,레이더,경상남도 의령군 부림면 대곡리 996 (대곡교),128-20-52,35-29-05,128.3477778,35.48472222,2012-01-01,무,6.757,22.32,9,무,164.89,7.37,최적(A),장비철거로 인한 일시운영중지(01.01~01.09),환경부,확대특보지점,낙동강,지방,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
296,296,2017640,창녕군(유어교),Changnyeonggun(Yueogyo),낙동강,토평천,VHF/M2M,부자식/레이더 ,경상남도 창녕군 이방면 성산리 200-4 (유어교),128-22-36,35-31-11,128.3766667,35.51972222,2018-12-12,무,3.565,19.123,14,무,120.85,0.39,최적(A),"결측, 이토작업으로 인한 수위 이상(04.04)",환경부,,낙동강,지방,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
297,297,2017670,의령군(박진교),Uiryeonggun(Bakjingyo),낙동강,낙동강,VHF/M2M/고속망,레이더(2),경상남도 의령군 부림면 경산리 679 ,128-22-33,35-26-24,128.3758333,35.44,1955-11-01,무,-5.181,19.903,17,무,"16,845.28",97.62,우수(B), ,환경부,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
298,298,2017685,의령군(세간교),Uiryeonggun(Segangyo),낙동강,유곡천,VSAT/M2M,부자식/압력식,경상남도 의령군 유곡면 세간리 29-4 (세간교),128-21-00,35-26-36,128.35,35.44333333,2008-02-01,무,20.887,28.293,8,유,92.16,4.72,최적(A), ,환경부,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
299,299,2018609,함양군(안의교),Hamyanggun(Anuigyo),낙동강,남강,VSAT/M2M,부자식/압력식,경상남도 함양군 안의면 금천리 254-1 (안의교),127-48-48,35-37-45,127.8133333,35.62916667,1962-07-01,무,189.356,194.413,5,무,218.00,157.38,최적(A), ,환경부,확대특보지점,낙동강,지방,확대특보지점,O,,지류,,2.9,3.7,4.47,2.66,43339.31944,X,,X,,O,X,O,○,○,●,시나리오
300,300,2018640,산청군(고읍교),Sancheonggun(Goeupgyo),낙동강,남강,VHF/M2M,레이더/압력식,경상남도 산청군 생초면 하촌리 160-6 (고읍교),127-49-47,35-29-25,127.8297222,35.49027778,2015-01-01,무,106.71,117.876,5,무,1023.29,134.87,최적(A),구교량 철거 및 관측소 확장 공사로 인한 수위계 철거(10.13~12.31),환경부,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
301,301,2018662,산청군(소이교),Sancheong-gun(Soigyo),낙동강,신등천,VHF/M2M,레이더,경상남도 산청군 신안면 외고리 431-1 (소이교),128-00-27,35-21-35,128.0075,35.35972222,2017-12-09,무,56.513,64.518,8,무,163.39,4.41,최적(A), ,환경부,,낙동강,지방,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
302,302,2018674,산청군(묵곡교),Sancheong-gun(Mukgokgyo),낙동강,남강,VSAT/M2M,레이더,경상남도 산청군 단성면 묵곡리 140-11 (묵곡교),127-57-46,35-16-56,127.9627778,35.28222222,2011-01-01,무,37.799,48.431,7,유,1710.1,100.73,우수(B),교량 공사 중변 공사로 인한 전선 단절로 인한 결측(11.29~12.07),환경부,,낙동강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
303,303,2018688,진주시(덕천교),Jinjusi(Deokcheongyo),낙동강,덕천강,VHF/M2M,압력식,경상남도 진주시 수곡면 원내리 268-1 (덕천교),127-57-28,35-09-28,127.9577778,35.15777778,2023-01-09,무,41.124,50.094,8,무,356.52,8.18,-,수위계 이상으로 인한 결측(03.15~03.21),환경부,,낙동강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
304,304,2019610,고성군(두문교),Goseonggun(Dumungyo),낙동강,영천강,VHF/M2M,부자식,경상남도 고성군 영오면 오서리 1611-1 (두문교),128-11-27,35-05-55,128.1908333,35.09861111,2009-01-01,무,33.209,40.603,9,무,133.77,14.23,최적(A), ,환경부,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
305,305,2019620,함안군(송도교),Hamangun(Songdogyo),낙동강,남강,VHF/M2M,레이더(2),경상남도 함안군 대산면 구혜리 927-1 (송도교),128-24-55,35-21-39,128.4152778,35.36083333,2015-01-01,무,-0.099,22.718,10,유,3416.56,4.88,최적(A), ,환경부,,낙동강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
306,306,2019625,진주시(옥산교),Jinjusi(Oksangyo),낙동강,영천강,VHF/M2M,부자식,경상남도 진주시 문산읍 옥산리 39-2(옥산교),128-09-23,35-09-48,128.1563889,35.16333333,2017-01-01,무,16.433,27.839,10,유,178.52,4.74,최적(A), ,환경부,확대특보지점,낙동강,지방,확대특보지점,O,,지류,,6,6.7,7.87,6.8,,O,"2021-07-07, 2022-09-06",X,,O,O,X,●,,,기본
307,307,2019635,진주시(덕오리),Jinjusi(Deogori),낙동강,남강,VHF/M2M,부자식,경상남도 진주시 집현면 덕오리 22-2,128-08-13,35-14-15,128.1369444,35.2375,2007-01-26,무,12.11,22.391,8,무,"2,665.34",59.26,최적(A), ,환경부,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
308,308,2019640,진주시(월강교),Jinjusi(Wolganggyo),낙동강,남강,VSAT/M2M,부자식/레이더,경상남도 진주시 진성면 가진리 1718  (월강교),128-11-56,35-13-21,128.1988889,35.2225,2010-01-01,무,10.727,24.505,10,유,"2,755.35",51.52,최적(A), ,환경부,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
309,309,2019647,진주시(장박교),Jinjusi(Jangbakgyo),낙동강,남강,VSAT/M2M,부자식/압력식,경상남도 진주시 지수면 청담리 1684-1 (장박교),128-16-20,35-15-22,128.2722222,35.25611111,2013-01-01,무,4.711,22.103,11,유,"2,960.89",34.97,최적(A), ,환경부,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
